Created At,Tweet,Cleaned,Slang Converted,Remove Stop Words,Stemmed,Tokenized,Sentiment,Sentiment Probabilities,Date
2025-05-23 03:18:21+00:00,Makan siang bergizi gratis untuk generasi penerus bangsa! Pemerintah berkomitmen memastikan setiap anak mendapatkan asupan terbaik. #MakanBergiziGratis #GenerasiSehat #PendidikanMerata https://t.co/BpxdfwZFHa,makan siang bergizi gratis untuk generasi penerus bangsa pemerintah berkomitmen memastikan setiap anak mendapatkan asupan terbaik,makan siang bergizi gratis untuk generasi penerus bangsa pemerintah berkomitmen memastikan setiap anak mendapatkan asupan terbaik,makan siang bergizi gratis generasi penerus bangsa pemerintah berkomitmen anak asupan terbaik,makan siang gizi gratis generasi terus bangsa perintah komitmen anak asupan baik,"['makan', 'siang', 'gizi', 'gratis', 'generasi', 'terus', 'bangsa', 'perintah', 'komitmen', 'anak', 'asupan', 'baik']",netral,"[0.1040557399392128, 0.877302885055542, 0.018641289323568344]",2025-05-23
2025-05-22 11:38:38+00:00,"@CakD3pp Tidak ada makan siang gratis, bung... walau ada program Makan Bergizi Gratis🤭 https://t.co/pzSRTvVKel",tidak ada makan siang gratis bung walau ada program makan bergizi gratis,tidak ada makan siang gratis bung walau ada program makan bergizi gratis,makan siang gratis program makan bergizi gratis,makan siang gratis program makan gizi gratis,"['makan', 'siang', 'gratis', 'program', 'makan', 'gizi', 'gratis']",netral,"[0.196573406457901, 0.8026289343833923, 0.0007976882625371218]",2025-05-22
2025-05-21 22:59:01+00:00,"@n3t162 @babegini Karena dikasih makan gratis, makanya hati, ini sekarang makan siang gratis, SDH mulai ada korban, coba kalau uang makan di kasih kan ke orang tua anak, untuk baw bekal sendiri sendiri, atau gaji tenaga kerja di naikan biar cukup untuk makan bergizi,",karena dikasih makan gratis makanya hati ini sekarang makan siang gratis sdh mulai ada korban coba kalau uang makan di kasih kan ke orang tua anak untuk baw bekal sendiri sendiri atau gaji tenaga kerja di naikan biar cukup untuk makan bergizi,karena dikasih makan gratis makanya hati ini sekarang makan siang gratis sudah mulai ada korban coba kalau uang makan di kasih kan ke orang tua anak untuk baw bekal sendiri sendiri atau gaji tenaga kerja di naikan biar cukup untuk makan bergizi,dikasih makan gratis hati makan siang gratis korban coba uang makan kasih orang tua anak baw bekal gaji tenaga kerja naikan biar makan bergizi,kasih makan gratis hati makan siang gratis korban coba uang makan kasih orang tua anak baw bekal gaji tenaga kerja naik biar makan gizi,"['kasih', 'makan', 'gratis', 'hati', 'makan', 'siang', 'gratis', 'korban', 'coba', 'uang', 'makan', 'kasih', 'orang', 'tua', 'anak', 'baw', 'bekal', 'gaji', 'tenaga', 'kerja', 'naik', 'biar', 'makan', 'gizi']",netral,"[0.00029348014504648745, 0.9993543028831482, 0.00035228481283411384]",2025-05-21
2025-05-21 06:48:34+00:00,"Program makan siang bergizi gratis dari presiden prabowo masih berlanjut apa engga ya? Mengingat sekarang banyak beredar info bahwa makan siang gratis itu dihadapkan berbagai persoalan mulai dari pendistribusian yang tidak merata, keracunan, dan mundurnya mitra mbg.",program makan siang bergizi gratis dari presiden prabowo masih berlanjut apa engga ya mengingat sekarang banyak beredar info bahwa makan siang gratis itu dihadapkan berbagai persoalan mulai dari pendistribusian yang tidak merata keracunan dan mundurnya mitra mbg,program makan siang bergizi gratis dari presiden prabowo masih berlanjut apa enggak ya mengingat sekarang banyak beredar info bahwa makan siang gratis itu dihadapkan berbagai persoalan mulai dari pendistribusian yang tidak merata keracunan dan mundurnya mitra makan bergizi gratis,program makan siang bergizi gratis presiden prabowo berlanjut ya beredar info makan siang gratis dihadapkan pendistribusian merata keracunan mundurnya mitra makan bergizi gratis,program makan siang gizi gratis presiden prabowo lanjut ya edar info makan siang gratis hadap distribusi rata racun mundur mitra makan gizi gratis,"['program', 'makan', 'siang', 'gizi', 'gratis', 'presiden', 'prabowo', 'lanjut', 'ya', 'edar', 'info', 'makan', 'siang', 'gratis', 'hadap', 'distribusi', 'rata', 'racun', 'mundur', 'mitra', 'makan', 'gizi', 'gratis']",netral,"[0.0001664761803112924, 0.9996963739395142, 0.00013712397776544094]",2025-05-21
2025-05-19 05:57:21+00:00,Hamdalah dapat makan siang bergizi gratis,hamdalah dapat makan siang bergizi gratis,hamdalah dapat makan siang bergizi gratis,hamdalah makan siang bergizi gratis,hamdalah makan siang gizi gratis,"['hamdalah', 'makan', 'siang', 'gizi', 'gratis']",netral,"[0.0010111358715221286, 0.9988442659378052, 0.00014449430454988033]",2025-05-19
2025-05-19 05:22:39+00:00,"Sebanyak 640 siswa SMPN 19 Kota Malang, Jawa Timur hari ini mendapatkan program Makan Bergizi Gratis (MBG) yang dikelola Satuan Pelayanan Pemenuhan Gizi (SPPG) pangkalan Angkatan Laut di Malang, Senin (19/5) siang. 🎥Ahh #BeritaElshinta https://t.co/eThHP0cHvh",sebanyak siswa smpn kota malang jawa timur hari ini mendapatkan program makan bergizi gratis mbg yang dikelola satuan pelayanan pemenuhan gizi sppg pangkalan angkatan laut di malang senin siang ahh,sebanyak siswa smpn kota malang jawa timur hari ini mendapatkan program makan bergizi gratis makan bergizi gratis yang dikelola satuan pelayanan pemenuhan gizi sppg pangkalan angkatan laut di malang senin siang ah,siswa smpn kota malang jawa timur program makan bergizi gratis makan bergizi gratis dikelola satuan pelayanan pemenuhan gizi sppg pangkalan angkatan laut malang senin siang ah,siswa smpn kota malang jawa timur program makan gizi gratis makan gizi gratis kelola satu layan penuh gizi sppg pangkal angkat laut malang senin siang ah,"['siswa', 'smpn', 'kota', 'malang', 'jawa', 'timur', 'program', 'makan', 'gizi', 'gratis', 'makan', 'gizi', 'gratis', 'kelola', 'satu', 'layan', 'penuh', 'gizi', 'sppg', 'pangkal', 'angkat', 'laut', 'malang', 'senin', 'siang', 'ah']",netral,"[0.0024842761922627687, 0.9970923662185669, 0.00042340203071944416]",2025-05-19
2025-05-17 02:43:04+00:00,"@perfectslines Tapi yang sehat dan bergizi, jangan kayak program makan siang gratis 😔",tapi yang sehat dan bergizi jangan kayak program makan siang gratis,tapi yang sehat dan bergizi jangan kayak program makan siang gratis,sehat bergizi kayak program makan siang gratis,sehat gizi kayak program makan siang gratis,"['sehat', 'gizi', 'kayak', 'program', 'makan', 'siang', 'gratis']",netral,"[0.1128506138920784, 0.5692681074142456, 0.3178812265396118]",2025-05-17
2025-05-16 08:54:31+00:00,"@barcastuff_idn ada program makan siang ""bergizi"" gratis buat la masia ga?",ada program makan siang bergizi gratis buat la masia ga,ada program makan siang bergizi gratis buat lah masia enggak,program makan siang bergizi gratis masia,program makan siang gizi gratis masia,"['program', 'makan', 'siang', 'gizi', 'gratis', 'masia']",netral,"[0.04012185335159302, 0.9595219492912292, 0.00035613859654404223]",2025-05-16
2025-05-16 04:00:42+00:00,"Makan siang bergizi gratis, investasi untuk generasi emas Indonesia https://t.co/YLPK5lWyNU",makan siang bergizi gratis investasi untuk generasi emas indonesia,makan siang bergizi gratis investasi untuk generasi emas indonesia,makan siang bergizi gratis investasi generasi emas indonesia,makan siang gizi gratis investasi generasi emas indonesia,"['makan', 'siang', 'gizi', 'gratis', 'investasi', 'generasi', 'emas', 'indonesia']",netral,"[0.001158913248218596, 0.9987319111824036, 0.0001091564045054838]",2025-05-16
2025-05-16 03:50:44+00:00,Makan Siang Bergizi Gratis Investasi Untuk Generasi Emas Indonesia https://t.co/G6f1kTup2x,makan siang bergizi gratis investasi untuk generasi emas indonesia,makan siang bergizi gratis investasi untuk generasi emas indonesia,makan siang bergizi gratis investasi generasi emas indonesia,makan siang gizi gratis investasi generasi emas indonesia,"['makan', 'siang', 'gizi', 'gratis', 'investasi', 'generasi', 'emas', 'indonesia']",netral,"[0.001158913248218596, 0.9987319111824036, 0.0001091564045054838]",2025-05-16
2025-05-15 13:17:09+00:00,"Sapinya keknya makan siang bergizi gratis, makanya pi sapi sebelum makan cuci dulu tuh tangan? Kaki? Ya pokoknya itu lah",sapinya keknya makan siang bergizi gratis makanya pi sapi sebelum makan cuci dulu tuh tangan kaki ya pokoknya itu lah,sapinya kayaknya makan siang bergizi gratis makanya tapi sapi sebelum makan cuci dulu tuh tangan kaki ya pokoknya itu lah,sapinya kayaknya makan siang bergizi gratis sapi makan cuci tuh tangan kaki ya pokoknya,sapi kayak makan siang gizi gratis sapi makan cuci tuh tangan kaki ya pokok,"['sapi', 'kayak', 'makan', 'siang', 'gizi', 'gratis', 'sapi', 'makan', 'cuci', 'tuh', 'tangan', 'kaki', 'ya', 'pokok']",negatif,"[0.0018764619017019868, 0.37887415289878845, 0.6192493438720703]",2025-05-15
2025-05-15 11:58:26+00:00,"Kamis 15 Mei 2025, Bhabinkamtibmas Wirogunan Aipda Ervan melaksanakan monitoring pelaksanaan Program Nasional RI Makan Siang Bergizi (MBG) yang disalurkan oleh Petugas SPPG Mandiri dari Yayasan Patriot Solidaritas Nusantara.  https://t.co/6JHs86bT0E",kamis mei bhabinkamtibmas wirogunan aipda ervan melaksanakan monitoring pelaksanaan program nasional ri makan siang bergizi mbg yang disalurkan oleh petugas sppg mandiri dari yayasan patriot solidaritas nusantara,kamis mei bhabinkamtibmas wirogunan aipda ervan melaksanakan monitoring pelaksanaan program nasional ri makan siang bergizi makan bergizi gratis yang disalurkan oleh petugas sppg mandiri dari yayasan patriot solidaritas nusantara,kamis mei bhabinkamtibmas wirogunan aipda ervan melaksanakan monitoring pelaksanaan program nasional ri makan siang bergizi makan bergizi gratis disalurkan petugas sppg mandiri yayasan patriot solidaritas nusantara,kamis mei bhabinkamtibmas wirogunan aipda ervan laksana monitoring laksana program nasional ri makan siang gizi makan gizi gratis salur tugas sppg mandiri yayasan patriot solidaritas nusantara,"['kamis', 'mei', 'bhabinkamtibmas', 'wirogunan', 'aipda', 'ervan', 'laksana', 'monitoring', 'laksana', 'program', 'nasional', 'ri', 'makan', 'siang', 'gizi', 'makan', 'gizi', 'gratis', 'salur', 'tugas', 'sppg', 'mandiri', 'yayasan', 'patriot', 'solidaritas', 'nusantara']",netral,"[0.0001698518026387319, 0.9996926784515381, 0.00013747700722888112]",2025-05-15
2025-05-14 14:58:18+00:00,"@emerson_yuntho @prabowo coba undang webinar, bang judulnya ""Tips Mengetahui Indikator Obesitas Melihat Lingkar Pinggangnya""  narsumnya saya traktir makan siang bergizi gratis 🤸",coba undang webinar bang judulnya tips mengetahui indikator obesitas melihat lingkar pinggangnya narsumnya saya traktir makan siang bergizi gratis,coba undang webinar bang judulnya tips mengetahui indikator obesitas melihat lingkar pinggangnya narsumnya saya traktir makan siang bergizi gratis,coba undang webinar bang judulnya tips indikator obesitas lingkar pinggangnya narsumnya traktir makan siang bergizi gratis,coba undang webinar bang judul tips indikator obesitas lingkar pinggang narsumnya traktir makan siang gizi gratis,"['coba', 'undang', 'webinar', 'bang', 'judul', 'tips', 'indikator', 'obesitas', 'lingkar', 'pinggang', 'narsumnya', 'traktir', 'makan', 'siang', 'gizi', 'gratis']",netral,"[0.0003900889423675835, 0.9994971752166748, 0.00011272833216935396]",2025-05-14
2025-05-14 09:36:39+00:00,@tanyakanrl Makan siang bergizi gratis,makan siang bergizi gratis,makan siang bergizi gratis,makan siang bergizi gratis,makan siang gizi gratis,"['makan', 'siang', 'gizi', 'gratis']",positif,"[0.6751384139060974, 0.3229947090148926, 0.0018668805714696646]",2025-05-14
2025-05-14 04:40:42+00:00,makan siang bergizi gratis,makan siang bergizi gratis,makan siang bergizi gratis,makan siang bergizi gratis,makan siang gizi gratis,"['makan', 'siang', 'gizi', 'gratis']",positif,"[0.6751384139060974, 0.3229947090148926, 0.0018668805714696646]",2025-05-14
2025-05-13 14:46:56+00:00,Td siang ada makan bergizi gratis di depan perum wkwk,td siang ada makan bergizi gratis di depan perum wkwk,tadi siang ada makan bergizi gratis di depan perum wkwk,siang makan bergizi gratis perum wkwk,siang makan gizi gratis perum wkwk,"['siang', 'makan', 'gizi', 'gratis', 'perum', 'wkwk']",netral,"[0.0008397939964197576, 0.9990216493606567, 0.00013852880510967225]",2025-05-13
2025-05-13 11:42:52+00:00,"@madilogin_ Katanya gratis tapi minta duit. Bener kata orang, nggak ada makan siang gratis yg bergizi.",katanya gratis tapi minta duit bener kata orang nggak ada makan siang gratis yg bergizi,katanya gratis tapi meminta duit benar kata orang enggak ada makan siang gratis yang bergizi,gratis duit orang makan siang gratis bergizi,gratis duit orang makan siang gratis gizi,"['gratis', 'duit', 'orang', 'makan', 'siang', 'gratis', 'gizi']",netral,"[0.01099328137934208, 0.987345278263092, 0.0016614642227068543]",2025-05-13
2025-05-13 03:03:22+00:00,@haewonfellas menu makan siang bergizi en gratis kk fira,menu makan siang bergizi en gratis kk fira,menu makan siang bergizi en gratis kakak fira,menu makan siang bergizi en gratis kakak fira,menu makan siang gizi en gratis kakak fira,"['menu', 'makan', 'siang', 'gizi', 'en', 'gratis', 'kakak', 'fira']",netral,"[0.015405796468257904, 0.9843419194221497, 0.0002522538125049323]",2025-05-13
2025-05-12 13:51:37+00:00,"@flaevescent @absquatulatei ㅤ Pilih aku, nanti aku kasih makan siang gratis bergizi. ㅤ",ㅤ pilih aku nanti aku kasih makan siang gratis bergizi ㅤ,ㅤ pilih aku nanti aku kasih makan siang gratis bergizi ㅤ,ㅤ pilih kasih makan siang gratis bergizi ㅤ,pilih kasih makan siang gratis gizi,"['pilih', 'kasih', 'makan', 'siang', 'gratis', 'gizi']",netral,"[0.0026107924059033394, 0.9971906542778015, 0.0001985197450267151]",2025-05-12
2025-05-12 13:07:58+00:00,@mmarleyt @fairusmann @Udang_Rebon3 @STresnowati1 @MokhamadMunir1 @prabowo Emangnya program makan siang dan bergizi gratis itu programnya pak jokowi tah..? Kok kamu menyebut berkelanjutan.. 🤣🤣 Dari sini saja emang kamu gx bisa mikir kok gx mau direndahkan.. 🤣🤣,emangnya program makan siang dan bergizi gratis itu programnya pak jokowi tah kok kamu menyebut berkelanjutan dari sini saja emang kamu gx bisa mikir kok gx mau direndahkan,memangnya program makan siang dan bergizi gratis itu programnya pak jokowi teh kok kamu menyebut berkelanjutan dari sini saja memang kamu enggak bisa mikir kok enggak mau direndahkan,memangnya program makan siang bergizi gratis programnya jokowi teh menyebut berkelanjutan mikir direndahkan,memang program makan siang gizi gratis program jokowi teh sebut lanjut mikir rendah,"['memang', 'program', 'makan', 'siang', 'gizi', 'gratis', 'program', 'jokowi', 'teh', 'sebut', 'lanjut', 'mikir', 'rendah']",negatif,"[0.004994823597371578, 0.03967772051692009, 0.9553274512290955]",2025-05-12
2025-05-12 07:00:23+00:00,@tomoseeker @apasihrit Makan siang bergizi gratis nihh. Makasii gesss,makan siang bergizi gratis nihh makasii gesss,makan siang bergizi gratis nih makasii gesss,makan siang bergizi gratis nih makasii gesss,makan siang gizi gratis nih makasii gesss,"['makan', 'siang', 'gizi', 'gratis', 'nih', 'makasii', 'gesss']",netral,"[0.021610019728541374, 0.9778783321380615, 0.0005116098327562213]",2025-05-12
2025-05-12 06:32:31+00:00,kak ella terima kasih krn SUDAH MEMBERIKAN MAKAN SIANG GRATIS BERGIZI lezat dengan menu SITUATIONSHIP (we don’t do relationship in here). ME LIKEYYY 😍😍😍,kak ella terima kasih krn sudah memberikan makan siang gratis bergizi lezat dengan menu situationship we dont do relationship in here me likeyyy,kak ella terima kasih karena sudah memberikan makan siang gratis bergizi lezat dengan menu situationship we dont di relationship ini here me likeyyy,kak ella terima kasih makan siang gratis bergizi lezat menu situationship we dont relationship here me likeyyy,kak ella terima kasih makan siang gratis gizi lezat menu situationship we dont relationship here me likeyyy,"['kak', 'ella', 'terima', 'kasih', 'makan', 'siang', 'gratis', 'gizi', 'lezat', 'menu', 'situationship', 'we', 'dont', 'relationship', 'here', 'me', 'likeyyy']",positif,"[0.9989877343177795, 0.0006570025580003858, 0.0003552211564965546]",2025-05-12
2025-05-12 05:29:20+00:00,Karena ada yang lebih penting dari MBG.. MAKAN SIANG BERGIZI dan gak sehat banyak kasus murid KERACUNAN.. karena laki lo yang bodoh.. cuma untuk meracuni murid.. https://t.co/8Z7JEjDFc7 https://t.co/Hd61pcDXvy,karena ada yang lebih penting dari mbg makan siang bergizi dan gak sehat banyak kasus murid keracunan karena laki lo yang bodoh cuma untuk meracuni murid,karena ada yang lebih penting dari makan bergizi gratis makan siang bergizi dan enggak sehat banyak kasus murid keracunan karena laki anda yang bodoh cuma untuk meracuni murid,makan bergizi gratis makan siang bergizi sehat murid keracunan laki bodoh meracuni murid,makan gizi gratis makan siang gizi sehat murid racun laki bodoh racun murid,"['makan', 'gizi', 'gratis', 'makan', 'siang', 'gizi', 'sehat', 'murid', 'racun', 'laki', 'bodoh', 'racun', 'murid']",negatif,"[3.322630800539628e-05, 0.00036380282836034894, 0.9996029734611511]",2025-05-12
2025-05-12 05:20:27+00:00,Ini baru makan siang bergizi gratis 🤐 https://t.co/n95tb95J0s,ini baru makan siang bergizi gratis,ini baru makan siang bergizi gratis,makan siang bergizi gratis,makan siang gizi gratis,"['makan', 'siang', 'gizi', 'gratis']",positif,"[0.6751384139060974, 0.3229947090148926, 0.0018668805714696646]",2025-05-12
2025-05-12 02:34:34+00:00,"Ternak Tahukah kamu Kementan terus mendorong modernisasi peternakan ayam petelur demi memastikan pasokan telur yang cukup, higienis, dan berkualitas untuk mendukung program Makan Siang Bergizi Gratis (MBG) bagi jutaan siswa Indonesia. @ditjen_pkh  https://t.co/gI8jNTQNoB…",ternak tahukah kamu kementan terus mendorong modernisasi peternakan ayam petelur demi memastikan pasokan telur yang cukup higienis dan berkualitas untuk mendukung program makan siang bergizi gratis mbg bagi jutaan siswa indonesia,ternak tahukah kamu kementan terus mendorong modernisasi peternakan ayam petelur demi memastikan pasokan telur yang cukup higienis dan berkualitas untuk mendukung program makan siang bergizi gratis makan bergizi gratis bagi jutaan siswa indonesia,ternak tahukah kementan mendorong modernisasi peternakan ayam petelur pasokan telur higienis berkualitas mendukung program makan siang bergizi gratis makan bergizi gratis jutaan siswa indonesia,ternak tahu tan dorong modernisasi terna ayam telur pasok telur higienis kualitas dukung program makan siang gizi gratis makan gizi gratis juta siswa indonesia,"['ternak', 'tahu', 'tan', 'dorong', 'modernisasi', 'terna', 'ayam', 'telur', 'pasok', 'telur', 'higienis', 'kualitas', 'dukung', 'program', 'makan', 'siang', 'gizi', 'gratis', 'makan', 'gizi', 'gratis', 'juta', 'siswa', 'indonesia']",netral,"[0.013181842863559723, 0.9863757491111755, 0.0004423243517521769]",2025-05-12
